run_id,episodes,gap,epsilon,lr,epochs,poly,val_acc,weights_path
77,120,150,0.15,0.1,60,1,0.8966,runs\run_77_weights.npy
78,120,150,0.15,0.1,60,2,0.8902,runs\run_78_weights.npy
79,120,150,0.15,0.1,100,1,0.8917,runs\run_79_weights.npy
80,120,150,0.15,0.1,100,2,0.9130,runs\run_80_weights.npy
81,120,130,0.05,0.05,60,1,0.9240,runs\run_81_weights.npy
82,120,130,0.05,0.05,60,2,0.9481,runs\run_82_weights.npy
83,120,130,0.05,0.05,100,1,0.9264,runs\run_83_weights.npy
84,120,130,0.05,0.05,100,2,0.9601,runs\run_84_weights.npy
85,120,130,0.05,0.1,60,1,0.9444,runs\run_85_weights.npy
86,120,130,0.05,0.1,60,2,0.9615,runs\run_86_weights.npy
87,120,130,0.05,0.1,100,1,0.9555,runs\run_87_weights.npy
88,120,130,0.05,0.1,100,2,0.9645,runs\run_88_weights.npy
89,120,130,0.15,0.05,60,1,0.8848,runs\run_89_weights.npy
90,120,130,0.15,0.05,60,2,0.9056,runs\run_90_weights.npy
91,120,130,0.15,0.05,100,1,0.8701,runs\run_91_weights.npy
92,120,130,0.15,0.05,100,2,0.9038,runs\run_92_weights.npy
93,120,130,0.15,0.1,60,1,0.8721,runs\run_93_weights.npy
94,120,130,0.15,0.1,60,2,0.9041,runs\run_94_weights.npy
95,120,130,0.15,0.1,100,1,0.8974,runs\run_95_weights.npy
96,120,130,0.15,0.1,100,2,0.9136,runs\run_96_weights.npy
97,200,170,0.05,0.05,60,1,0.9277,runs\run_97_weights.npy
98,200,170,0.05,0.05,60,2,0.9590,runs\run_98_weights.npy
99,200,170,0.05,0.05,100,1,0.9502,runs\run_99_weights.npy
100,200,170,0.05,0.05,100,2,0.9558,runs\run_100_weights.npy
101,200,170,0.05,0.1,60,1,0.9486,runs\run_101_weights.npy
102,200,170,0.05,0.1,60,2,0.9676,runs\run_102_weights.npy
103,200,170,0.05,0.1,100,1,0.9546,runs\run_103_weights.npy
104,200,170,0.05,0.1,100,2,0.9581,runs\run_104_weights.npy
105,200,170,0.15,0.05,60,1,0.8863,runs\run_105_weights.npy
106,200,170,0.15,0.05,60,2,0.9054,runs\run_106_weights.npy
107,200,170,0.15,0.05,100,1,0.8863,runs\run_107_weights.npy
108,200,170,0.15,0.05,100,2,0.9032,runs\run_108_weights.npy
109,200,170,0.15,0.1,60,1,0.8889,runs\run_109_weights.npy
110,200,170,0.15,0.1,60,2,0.9085,runs\run_110_weights.npy
111,200,170,0.15,0.1,100,1,0.9030,runs\run_111_weights.npy
112,200,170,0.15,0.1,100,2,0.9059,runs\run_112_weights.npy
113,200,150,0.05,0.05,60,1,0.9294,runs\run_113_weights.npy
114,200,150,0.05,0.05,60,2,0.9581,runs\run_114_weights.npy
115,200,150,0.05,0.05,100,1,0.9388,runs\run_115_weights.npy
116,200,150,0.05,0.05,100,2,0.9614,runs\run_116_weights.npy
117,200,150,0.05,0.1,60,1,0.9527,runs\run_117_weights.npy
118,200,150,0.05,0.1,60,2,0.9708,runs\run_118_weights.npy
119,200,150,0.05,0.1,100,1,0.9492,runs\run_119_weights.npy
120,200,150,0.05,0.1,100,2,0.9730,runs\run_120_weights.npy
121,200,150,0.15,0.05,60,1,0.8772,runs\run_121_weights.npy
122,200,150,0.15,0.05,60,2,0.8990,runs\run_122_weights.npy
123,200,150,0.15,0.05,100,1,0.8929,runs\run_123_weights.npy
124,200,150,0.15,0.05,100,2,0.8977,runs\run_124_weights.npy
125,200,150,0.15,0.1,60,1,0.8937,runs\run_125_weights.npy
126,200,150,0.15,0.1,60,2,0.9011,runs\run_126_weights.npy
127,200,150,0.15,0.1,100,1,0.8961,runs\run_127_weights.npy
128,200,150,0.15,0.1,100,2,0.9116,runs\run_128_weights.npy
129,200,130,0.05,0.05,60,1,0.9261,runs\run_129_weights.npy
130,200,130,0.05,0.05,60,2,0.9565,runs\run_130_weights.npy
131,200,130,0.05,0.05,100,1,0.9471,runs\run_131_weights.npy
132,200,130,0.05,0.05,100,2,0.9708,runs\run_132_weights.npy
133,200,130,0.05,0.1,60,1,0.9508,runs\run_133_weights.npy
134,200,130,0.05,0.1,60,2,0.9639,runs\run_134_weights.npy
135,200,130,0.05,0.1,100,1,0.9488,runs\run_135_weights.npy
136,200,130,0.05,0.1,100,2,0.9644,runs\run_136_weights.npy
137,200,130,0.15,0.05,60,1,0.8863,runs\run_137_weights.npy
138,200,130,0.15,0.05,60,2,0.9020,runs\run_138_weights.npy
139,200,130,0.15,0.05,100,1,0.8904,runs\run_139_weights.npy
140,200,130,0.15,0.05,100,2,0.9066,runs\run_140_weights.npy
141,200,130,0.15,0.1,60,1,0.8900,runs\run_141_weights.npy
142,200,130,0.15,0.1,60,2,0.9046,runs\run_142_weights.npy
143,200,130,0.15,0.1,100,1,0.8865,runs\run_143_weights.npy
144,200,130,0.15,0.1,100,2,0.9083,runs\run_144_weights.npy
