y_norm,vy_norm,dist_norm,delta_gap_norm,action
0.59975,0.525,0.99,-0.42975,1
0.5886667,-0.5541667,0.9825,-0.41866666,0
0.57816666,-0.525,0.975,-0.40816668,0
0.56825,-0.49583334,0.9675,-0.39825,0
0.5589167,-0.46666667,0.96,-0.38891667,0
0.55016667,-0.4375,0.9525,-0.38016668,0
0.542,-0.40833333,0.945,-0.372,0
0.5344167,-0.37916666,0.9375,-0.36441666,0
0.52741665,-0.35,0.93,-0.35741666,0
0.521,-0.32083333,0.9225,-0.351,0
0.51516664,-0.29166666,0.915,-0.34516665,0
0.50991666,-0.2625,0.9075,-0.33991668,0
0.50525,-0.23333333,0.9,-0.33525,0
0.50116664,-0.20416667,0.8925,-0.33116665,0
0.49766666,-0.175,0.885,-0.32766667,0
0.49475,-0.14583333,0.8775,-0.32475,0
0.49241668,-0.11666667,0.87,-0.32241666,0
0.49066666,-0.0875,0.8625,-0.32066667,0
0.4895,-0.058333334,0.855,-0.3195,0
0.48891667,-0.029166667,0.8475,-0.31891668,0
0.48891667,-1.7578532e-16,0.84,-0.31891668,0
0.4895,0.029166667,0.8325,-0.3195,0
0.49066666,0.058333334,0.825,-0.32066667,0
0.49241668,0.0875,0.8175,-0.32241666,0
0.49475,0.11666667,0.81,-0.32475,0
0.49766666,0.14583333,0.8025,-0.32766667,0
0.50116664,0.175,0.795,-0.33116665,0
0.50525,0.20416667,0.7875,-0.33525,0
0.50991666,0.23333333,0.78,-0.33991668,0
0.51516664,0.2625,0.7725,-0.34516665,0
0.521,0.29166666,0.765,-0.351,0
0.52741665,0.32083333,0.7575,-0.35741666,0
0.5344167,0.35,0.75,-0.36441666,0
0.542,0.37916666,0.7425,-0.372,0
0.55016667,0.40833333,0.735,-0.38016668,0
0.5589167,0.4375,0.7275,-0.38891667,0
0.56825,0.46666667,0.72,-0.39825,0
0.57816666,0.49583334,0.7125,-0.40816668,0
0.5886667,0.525,0.705,-0.41866666,1
0.5775833,-0.5541667,0.6975,-0.40758333,0
0.56708336,-0.525,0.69,-0.39708334,0
0.5571667,-0.49583334,0.6825,-0.38716668,0
0.5478333,-0.46666667,0.675,-0.37783334,0
0.53908336,-0.4375,0.6675,-0.36908334,0
0.5309167,-0.40833333,0.66,-0.36091667,0
0.5233333,-0.37916666,0.6525,-0.35333332,0
0.51633334,-0.35,0.645,-0.34633332,0
0.50991666,-0.32083333,0.6375,-0.33991668,0
0.50408334,-0.29166666,0.63,-0.33408332,0
0.49883333,-0.2625,0.6225,-0.32883334,0
0.49416667,-0.23333333,0.615,-0.32416666,0
0.49008334,-0.20416667,0.6075,-0.32008332,0
0.48658332,-0.175,0.6,-0.31658334,0
0.48366666,-0.14583333,0.5925,-0.31366667,0
0.48133335,-0.11666667,0.585,-0.31133333,0
0.47958332,-0.0875,0.5775,-0.30958334,0
0.47841668,-0.058333334,0.57,-0.30841666,0
0.47783333,-0.029166667,0.5625,-0.30783334,0
0.47783333,-1.7578532e-16,0.555,-0.30783334,0
0.47841668,0.029166667,0.5475,-0.30841666,0
0.47958332,0.058333334,0.54,-0.30958334,0
0.48133335,0.0875,0.5325,-0.31133333,0
0.48366666,0.11666667,0.525,-0.31366667,0
0.48658332,0.14583333,0.5175,-0.31658334,0
0.49008334,0.175,0.51,-0.32008332,0
0.49416667,0.20416667,0.5025,-0.32416666,0
0.49883333,0.23333333,0.495,-0.32883334,0
0.50408334,0.2625,0.4875,-0.33408332,0
0.50991666,0.29166666,0.48,-0.33991668,0
0.51633334,0.32083333,0.4725,-0.34633332,0
0.5233333,0.35,0.465,-0.35333332,0
0.5309167,0.37916666,0.4575,-0.36091667,0
0.53908336,0.40833333,0.45,-0.36908334,0
0.5478333,0.4375,0.4425,-0.37783334,0
0.5571667,0.46666667,0.435,-0.38716668,0
0.56708336,0.49583334,0.4275,-0.39708334,0
0.5775833,0.525,0.42,-0.40758333,1
0.5665,-0.5541667,0.4125,-0.3965,0
0.556,-0.525,0.405,-0.386,0
0.54608333,-0.49583334,0.3975,-0.37608334,0
0.53675,-0.46666667,0.39,-0.36675,0
0.528,-0.4375,0.3825,-0.358,0
0.5198333,-0.40833333,0.375,-0.34983334,0
0.51225,-0.37916666,0.3675,-0.34225,0
0.50525,-0.35,0.36,-0.33525,0
0.49883333,-0.32083333,0.3525,-0.32883334,0
0.493,-0.29166666,0.345,-0.323,0
0.48775,-0.2625,0.3375,-0.31775,0
0.48308334,-0.23333333,0.33,-0.31308332,0
0.479,-0.20416667,0.3225,-0.309,0
0.4755,-0.175,0.315,-0.3055,0
0.47258332,-0.14583333,0.3075,-0.30258334,0
0.47025,-0.11666667,0.3,-0.30025,0
0.4685,-0.0875,0.2925,-0.2985,0
0.46733335,-0.058333334,0.285,-0.29733333,0
0.46675,-0.029166667,0.2775,-0.29675,0
0.46675,-1.7578532e-16,0.27,-0.29675,0
0.46733335,0.029166667,0.2625,-0.29733333,0
0.4685,0.058333334,0.255,-0.2985,0
0.47025,0.0875,0.2475,-0.30025,0
0.47258332,0.11666667,0.24,-0.30258334,0
0.4755,0.14583333,0.2325,-0.3055,0
0.479,0.175,0.225,-0.309,0
0.48308334,0.20416667,0.2175,-0.31308332,0
0.48775,0.23333333,0.21,-0.31775,0
0.493,0.2625,0.2025,-0.323,0
0.49883333,0.29166666,0.195,-0.32883334,0
0.50525,0.32083333,0.1875,-0.33525,0
0.51225,0.35,0.18,-0.34225,0
0.5,0.0,1.0,-0.11666667,0
0.50058335,0.029166667,1.0,-0.11725,0
0.50175,0.058333334,1.0,-0.11841667,0
0.5035,0.0875,1.0,-0.12016667,0
0.5058333,0.11666667,1.0,-0.1225,0
0.50875,0.14583333,1.0,-0.12541667,0
0.51225,0.175,1.0,-0.12891667,0
0.51633334,0.20416667,1.0,-0.133,0
0.521,0.23333333,1.0,-0.13766667,0
0.52625,0.2625,1.0,-0.14291666,0
0.53208333,0.29166666,1.0,-0.14875,0
0.5385,0.32083333,1.0,-0.15516667,0
